



\\D-AP72\E$,151.03 GB,158364784
\\D-AP72\F$,52.76 GB,55323200

\\D-SQLMON-DB-01\G$,49.44 GB,51839340
\\D-SQLMON-DB-01\F$,160.87 GB,168687900
\\D-SQLMON-DB-01\H$,3.06 GB,3210304

\\D-DB26\H$,76.92 GB,80655744
\\D-DB26\I$,131.31 GB,137684384
\\D-DB26\J$,1.20 GB,1256544
\\D-DB26\K$,66.92 GB,70171008

\\d-db27\f$,157.34 GB,164979488







\\D-DB91\N$,213.01 GB,223361804
\\D-DB91\O$,15.20 GB,15936628
\\D-DB91\P$,3.91 GB,4100800
\\D-DB91\S$,53.37 GB,55958536

\\D-DB92\F$,12.11 GB,12693920
\\D-DB92\G$,18.88 GB,19799744
\\D-DB92\H$,10.84 GB,11370400
\\D-DB92\I$,37.82 GB,39662272

\\d-db93\t$,23.78 GB,24930816
\\d-db93\u$,5.66 GB,5934012
\\d-db93\v$,4.02 GB,4217472
\\d-db93\w$,37.02 GB,38817468

\\D-DB94\E$,65.46 GB,68644064
\\D-DB94\Y$,23.34 GB,24473184

\\D-EDRM13\J$,20.71 GB,21721120
\\D-EDRM13\K$,3.81 GB,3997664
\\D-EDRM13\L$,5.61 GB,5886080
\\D-EDRM13\I$,37.55 GB,39378436










\\D-SCCM-MS-01\F$,224.53 GB,235435288
\\D-SCCM-MS-01\G$,180.11 GB,188861240
\\D-SCCM-MS-01\E$,200.16 GB,209877924

\\D-SCCM-MS-02\F$,145.28 GB,152334616
\\D-SCCM-MS-02\E$,93.77 GB,98327180
\\D-SCCM-MS-02\G$,16.81 GB,17629228











\\d-scom03\e$,>2 TB
\\d-scom03\f$,715.20 GB,749943132
\\d-scom03\g$,428.45 GB,449267176

\\D-SCSM-APPD-01\d$,29.40 GB,30827128

\\D-SCSM-APPD-02\d$,12.43 GB,13038080

\\D-SCSM05\H$,412.18 GB,432205952
\\D-SCSM05\I$,299.92 GB,314492416
\\D-SCSM05\J$,316.99 GB,332386240
\\D-SCSM05\K$,30.09 GB,31548672

\\D-VOIP05\E$,23.98 GB,25140088

\\D-VOIP04\E$,164.55 GB,172546228
\\D-VOIP04\D$,9.95 GB,10434340

\\D-SCORCH-DB-01\D$,48.82 GB,51191232

\\D-SCORCH-DEV-01\D$,10.23 GB,10724544

\\D-SCORCH-DEV-02\D$,9.89 GB,10368576






\\D-CHUBB-APP-01\D$,16.82 GB,17640404

\\D-CHUBB-APP-02\D$,16.44 GB,17241024

\\D-CHUBB-APP-03\D$,38.81 GB,40690496

\\D-SCORCH-MS-02\D$,35.61 GB,37341952

\\P-SCCM-MS-01.perimeter.dcc\D$,97.76 GB,102505844

\\D-SCSM-WEB-01\C$,21.37 GB,22408976
\\D-SCSM-WEB-01\D$,9.96 GB,10442984

\\D-SCOM-MSD-01\D$,41.57 GB,43590336

\\D-SAP-SMP-02\G$,3.92 GB,4111968
\\D-SAP-SMP-02\H$,964.09 MB,987232
\\D-SAP-SMP-02\I$,54.39 GB,57029312
\\D-SAP-SMP-02\Z$,71.89 GB,75385952

\\d-vmm-ms-01\s$, - , - 

\\D-NAPS-MS-01\D$,13.26 GB,13907872






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































